329	3534591073862641924.wav	Вай соли 1945 ба даста шомил шуд ва то соли 1958 да ҳамин тим монд.	вай соли 1945 ба даста шомил шуд ва то соли 1958 да ҳамин тим монд	в а й | с о л и | 1 9 4 5 | б а | д а с т а | ш о м и л | ш у д | в а | т о | с о л и | 1 9 5 8 | д а | ҳ а м и н | т и м | м о н д |	117120	MALE
1399	10095817666555084341.wav	Бо мақсади беҳтар нишон додани ҷараёни ҳаракати нақлиёт, байни се хусусияти асосӣ робитаҳо барқарор карда шуданд: (1) ҷараён, (2) зичӣ ва (3) суръат.	бо мақсади беҳтар нишон додани ҷараёни ҳаракати нақлиёт байни се хусусияти асосӣ робитаҳо барқарор карда шуданд: 1 ҷараён 2 зичӣ ва 3 суръат	б о | м а қ с а д и | б е ҳ т а р | н и ш о н | д о д а н и | ҷ а р а ё н и | ҳ а р а к а т и | н а қ л и ё т | б а й н и | с е | х у с у с и я т и | а с о с ӣ | р о б и т а ҳ о | б а р қ а р о р | к а р д а | ш у д а н д : | 1 | ҷ а р а ё н | 2 | з и ч ӣ | в а | 3 | с у р ъ а т |	202560	FEMALE
927	3682558085961542581.wav	Ҳангоми истифодаи дрон (дастгоҳи парвози бесарнишин) пешакӣ санҷед, ки чиро шумо ба навор гирифта метавонад ва чӣ гуна иҷозат ё иҷозатномаҳои иловагӣ лозиманд.	ҳангоми истифодаи дрон дастгоҳи парвози бесарнишин пешакӣ санҷед ки чиро шумо ба навор гирифта метавонад ва чӣ гуна иҷозат ё иҷозатномаҳои иловагӣ лозиманд	ҳ а н г о м и | и с т и ф о д а и | д р о н | д а с т г о ҳ и | п а р в о з и | б е с а р н и ш и н | п е ш а к ӣ | с а н ҷ е д | к и | ч и р о | ш у м о | б а | н а в о р | г и р и ф т а | м е т а в о н а д | в а | ч ӣ | г у н а | и ҷ о з а т | ё | и ҷ о з а т н о м а ҳ о и | и л о в а г ӣ | л о з и м а н д |	235200	FEMALE
22	11538088177063751703.wav	Ҳсие инчунин изҳор дошт, ки Maи суратзеб нисбат ба боигарӣ услуби хеле хуб дошт.	ҳсие инчунин изҳор дошт ки maи суратзеб нисбат ба боигарӣ услуби хеле хуб дошт	ҳ с и е | и н ч у н и н | и з ҳ о р | д о ш т | к и | m a и | с у р а т з е б | н и с б а т | б а | б о и г а р ӣ | у с л у б и | х е л е | х у б | д о ш т |	142080	FEMALE
348	14042049567827219086.wav	Яке аз шишаҳо билохира шикаст ва онҳо аз тиреза берун шудан гирифтанд,» гуфт Франсисзек Ковали наҷотёфта.	яке аз шишаҳо билохира шикаст ва онҳо аз тиреза берун шудан гирифтанд,» гуфт франсисзек ковали наҷотёфта	я к е | а з | ш и ш а ҳ о | б и л о х и р а | ш и к а с т | в а | о н ҳ о | а з | т и р е з а | б е р у н | ш у д а н | г и р и ф т а н д , » | г у ф т | ф р а н с и с з е к | к о в а л и | н а ҷ о т ё ф т а |	216960	MALE
90	15368003072889986142.wav	Аммо, як манбаъ аз тафтишот хабар дошта ба Миннеаполис Стар-Трибюн иброз дошт, ки ин Луис Журден, писари 16-солаи раиси Red Lake Tribal Флойд Фурден мебошад.	аммо як манбаъ аз тафтишот хабар дошта ба миннеаполис стар-трибюн иброз дошт ки ин луис журден писари 16-солаи раиси red lake tribal флойд фурден мебошад	а м м о | я к | м а н б а ъ | а з | т а ф т и ш о т | х а б а р | д о ш т а | б а | м и н н е а п о л и с | с т а р - т р и б ю н | и б р о з | д о ш т | к и | и н | л у и с | ж у р д е н | п и с а р и | 1 6 - с о л а и | р а и с и | r e d | l a k e | t r i b a l | ф л о й д | ф у р д е н | м е б о ш а д |	285120	FEMALE
450	7963478157503484457.wav	Баъдан аз шимол тавассути ғарб, пас аз боронҳои тақрибан моҳи апрел, бори дигар дарёи Мараро убур карда баргаштан.	баъдан аз шимол тавассути ғарб пас аз боронҳои тақрибан моҳи апрел бори дигар дарёи мараро убур карда баргаштан	б а ъ д а н | а з | ш и м о л | т а в а с с у т и | ғ а р б | п а с | а з | б о р о н ҳ о и | т а қ р и б а н | м о ҳ и | а п р е л | б о р и | д и г а р | д а р ё и | м а р а р о | у б у р | к а р д а | б а р г а ш т а н |	147840	MALE
1069	4371107525613986800.wav	Дар ҷойҳои дурдасти берун аз минтақаи фарогирии телефони мобилӣ, телефони моҳвораӣ метавонад ягона роҳи шумо бошад.	дар ҷойҳои дурдасти берун аз минтақаи фарогирии телефони мобилӣ телефони моҳвораӣ метавонад ягона роҳи шумо бошад	д а р | ҷ о й ҳ о и | д у р д а с т и | б е р у н | а з | м и н т а қ а и | ф а р о г и р и и | т е л е ф о н и | м о б и л ӣ | т е л е ф о н и | м о ҳ в о р а ӣ | м е т а в о н а д | я г о н а | р о ҳ и | ш у м о | б о ш а д |	142080	MALE
837	1834047075932679717.wav	Меъморӣ бо тарроҳӣ ва сохтмони биноҳо машғул мебошад. Меъмории ягон ҷой метавонад аксар вақт худ ба худ диққати сайёҳонро ҷалб намояд.	меъморӣ бо тарроҳӣ ва сохтмони биноҳо машғул мебошад меъмории ягон ҷой метавонад аксар вақт худ ба худ диққати сайёҳонро ҷалб намояд	м е ъ м о р ӣ | б о | т а р р о ҳ ӣ | в а | с о х т м о н и | б и н о ҳ о | м а ш ғ у л | м е б о ш а д | м е ъ м о р и и | я г о н | ҷ о й | м е т а в о н а д | а к с а р | в а қ т | х у д | б а | х у д | д и қ қ а т и | с а й ё ҳ о н р о | ҷ а л б | н а м о я д |	167040	MALE
324	15401114838775576174.wav	Дар шарқи Уқёнуси Атлантик тӯфони тропикии «Даниэл», ки чаҳорумин тӯфони шадидтарин дар мавсими тӯфони Атлантики соли 2010 мебошад, ба вуқӯъ омадааст.	дар шарқи уқёнуси атлантик тӯфони тропикии «даниэл» ки чаҳорумин тӯфони шадидтарин дар мавсими тӯфони атлантики соли 2010 мебошад ба вуқӯъ омадааст	д а р | ш а р қ и | у қ ё н у с и | а т л а н т и к | т ӯ ф о н и | т р о п и к и и | « д а н и э л » | к и | ч а ҳ о р у м и н | т ӯ ф о н и | ш а д и д т а р и н | д а р | м а в с и м и | т ӯ ф о н и | а т л а н т и к и | с о л и | 2 0 1 0 | м е б о ш а д | б а | в у қ ӯ ъ | о м а д а а с т |	243840	MALE
105	5210000293726913955.wav	Ба онҳо маҳдудиятҳои молиявӣ ва манъи Иттиҳоди Аврупо вобаста ба фурӯши нафти хом дохил мешавад, ки аз онҳо иқтисодиёти Эрон 80 фисади даромади хориҷии худро ба даст меорад.	ба онҳо маҳдудиятҳои молиявӣ ва манъи иттиҳоди аврупо вобаста ба фурӯши нафти хом дохил мешавад ки аз онҳо иқтисодиёти эрон 80 фисади даромади хориҷии худро ба даст меорад	б а | о н ҳ о | м а ҳ д у д и я т ҳ о и | м о л и я в ӣ | в а | м а н ъ и | и т т и ҳ о д и | а в р у п о | в о б а с т а | б а | ф у р ӯ ш и | н а ф т и | х о м | д о х и л | м е ш а в а д | к и | а з | о н ҳ о | и қ т и с о д и ё т и | э р о н | 8 0 | ф и с а д и | д а р о м а д и | х о р и ҷ и и | х у д р о | б а | д а с т | м е о р а д |	289920	FEMALE
684	2376317528409441716.wav	Аз ҷониби дигар, маҳз бинобар сабаби хеле бузург будани ҳаҷми об, тамошои шаршараҳои воқеиро тамоми обҳо тира мекунанд!	аз ҷониби дигар маҳз бинобар сабаби хеле бузург будани ҳаҷми об тамошои шаршараҳои воқеиро тамоми обҳо тира мекунанд	а з | ҷ о н и б и | д и г а р | м а ҳ з | б и н о б а р | с а б а б и | х е л е | б у з у р г | б у д а н и | ҳ а ҷ м и | о б | т а м о ш о и | ш а р ш а р а ҳ о и | в о қ е и р о | т а м о м и | о б ҳ о | т и р а | м е к у н а н д |	205440	FEMALE
309	8824046348478022205.wav	Мисли собиқ қаҳрамони олимпӣ ва ҷаҳонӣ, Сайто ҳангоми маргаш раиси кумитаи тренингии Федератсияи дзюдои Ҷопон буд.	мисли собиқ қаҳрамони олимпӣ ва ҷаҳонӣ сайто ҳангоми маргаш раиси кумитаи тренингии федератсияи дзюдои ҷопон буд	м и с л и | с о б и қ | қ а ҳ р а м о н и | о л и м п ӣ | в а | ҷ а ҳ о н ӣ | с а й т о | ҳ а н г о м и | м а р г а ш | р а и с и | к у м и т а и | т р е н и н г и и | ф е д е р а т с и я и | д з ю д о и | ҷ о п о н | б у д |	214080	FEMALE
1132	9075816835531394582.wav	Маданияти корӣ дар Ҷопон зиёдтар иерархӣ ва расмӣ мебошад, назар ба оне, ки ғарбиён одат кардаанд.	маданияти корӣ дар ҷопон зиёдтар иерархӣ ва расмӣ мебошад назар ба оне ки ғарбиён одат кардаанд	м а д а н и я т и | к о р ӣ | д а р | ҷ о п о н | з и ё д т а р | и е р а р х ӣ | в а | р а с м ӣ | м е б о ш а д | н а з а р | б а | о н е | к и | ғ а р б и ё н | о д а т | к а р д а а н д |	184320	FEMALE
826	10403731156728365494.wav	Агар шумо ҷаҳонро бо нархи арзон, мувофиқи талабот, барои тарзи ҳаёт ё чолиш дидан хоҳед, барои ин амал якчанд роҳҳо мавҷуданд.	агар шумо ҷаҳонро бо нархи арзон мувофиқи талабот барои тарзи ҳаёт ё чолиш дидан хоҳед барои ин амал якчанд роҳҳо мавҷуданд	а г а р | ш у м о | ҷ а ҳ о н р о | б о | н а р х и | а р з о н | м у в о ф и қ и | т а л а б о т | б а р о и | т а р з и | ҳ а ё т | ё | ч о л и ш | д и д а н | х о ҳ е д | б а р о и | и н | а м а л | я к ч а н д | р о ҳ ҳ о | м а в ҷ у д а н д |	172800	FEMALE
886	15749074087752637339.wav	Барои зиёда аз 2 мусофир ҳаққи иловагӣ ситонида мешавад, аз ин лиҳоз варианти мазкур нисбат ба варианти лозимӣ метавонад гаронтар бошад.	барои зиёда аз 2 мусофир ҳаққи иловагӣ ситонида мешавад аз ин лиҳоз варианти мазкур нисбат ба варианти лозимӣ метавонад гаронтар бошад	б а р о и | з и ё д а | а з | 2 | м у с о ф и р | ҳ а қ қ и | и л о в а г ӣ | с и т о н и д а | м е ш а в а д | а з | и н | л и ҳ о з | в а р и а н т и | м а з к у р | н и с б а т | б а | в а р и а н т и | л о з и м ӣ | м е т а в о н а д | г а р о н т а р | б о ш а д |	224640	FEMALE
1268	9989073686487321004.wav	Ширкатҳои ҳавоӣ хуб дарк мекунанд, ки як гурӯҳи муайяни асосии мусофирон ҳастанд, ки барои имконияти ба ягонҷо зуд ва бароҳат расидан, омодаанд маблағи калон пардохт кунанд ва барои он ҳаққи муносиб ситонанд.	ширкатҳои ҳавоӣ хуб дарк мекунанд ки як гурӯҳи муайяни асосии мусофирон ҳастанд ки барои имконияти ба ягонҷо зуд ва бароҳат расидан омодаанд маблағи калон пардохт кунанд ва барои он ҳаққи муносиб ситонанд	ш и р к а т ҳ о и | ҳ а в о ӣ | х у б | д а р к | м е к у н а н д | к и | я к | г у р ӯ ҳ и | м у а й я н и | а с о с и и | м у с о ф и р о н | ҳ а с т а н д | к и | б а р о и | и м к о н и я т и | б а | я г о н ҷ о | з у д | в а | б а р о ҳ а т | р а с и д а н | о м о д а а н д | м а б л а ғ и | к а л о н | п а р д о х т | к у н а н д | в а | б а р о и | о н | ҳ а қ қ и | м у н о с и б | с и т о н а н д |	293760	FEMALE
877	12513404551260754486.wav	Барои онҳое, ки бо жаргонҳои тиббӣ ошно нестанд, калимаҳои «сирояткунанда» ва «гузаранда» маънои мушаххас доранд.	барои онҳое ки бо жаргонҳои тиббӣ ошно нестанд калимаҳои «сирояткунанда» ва «гузаранда» маънои мушаххас доранд	б а р о и | о н ҳ о е | к и | б о | ж а р г о н ҳ о и | т и б б ӣ | о ш н о | н е с т а н д | к а л и м а ҳ о и | « с и р о я т к у н а н д а » | в а | « г у з а р а н д а » | м а ъ н о и | м у ш а х х а с | д о р а н д |	184320	FEMALE
69	15834914776472886526.wav	Иҷоранишинон дар Lockwood Gardens боварӣ доранд, ки эҳтимол 40 оилаи дигар ё аз он бештар низ мавҷуданд, ки метавонанд бо кӯчондашавӣ дучор шаванд, зеро онҳо фаҳмиданд, ки шӯъбаи пулиси ММО (Маъмурияти манзилии Окленд) ҳамчунин дигар объектҳои манзилии ҷамъиятиро дар Окленд таҳқиқ карда истодааст, ки метавонанд дар қаллобии манзил даст дошта бошанд.	иҷоранишинон дар lockwood gardens боварӣ доранд ки эҳтимол 40 оилаи дигар ё аз он бештар низ мавҷуданд ки метавонанд бо кӯчондашавӣ дучор шаванд зеро онҳо фаҳмиданд ки шӯъбаи пулиси ммо маъмурияти манзилии окленд ҳамчунин дигар объектҳои манзилии ҷамъиятиро дар окленд таҳқиқ карда истодааст ки метавонанд дар қаллобии манзил даст дошта бошанд	и ҷ о р а н и ш и н о н | д а р | l o c k w o o d | g a r d e n s | б о в а р ӣ | д о р а н д | к и | э ҳ т и м о л | 4 0 | о и л а и | д и г а р | ё | а з | о н | б е ш т а р | н и з | м а в ҷ у д а н д | к и | м е т а в о н а н д | б о | к ӯ ч о н д а ш а в ӣ | д у ч о р | ш а в а н д | з е р о | о н ҳ о | ф а ҳ м и д а н д | к и | ш ӯ ъ б а и | п у л и с и | м м о | м а ъ м у р и я т и | м а н з и л и и | о к л е н д | ҳ а м ч у н и н | д и г а р | о б ъ е к т ҳ о и | м а н з и л и и | ҷ а м ъ и я т и р о | д а р | о к л е н д | т а ҳ қ и қ | к а р д а | и с т о д а а с т | к и | м е т а в о н а н д | д а р | қ а л л о б и и | м а н з и л | д а с т | д о ш т а | б о ш а н д |	338880	MALE
672	17740878389207177838.wav	Ҳамин тариқ, иҷозати вуруд ба кишвар дар ҳар санаи оғоз дар моҳи май аз 1 санаи январ дастрас мегардад.	ҳамин тариқ иҷозати вуруд ба кишвар дар ҳар санаи оғоз дар моҳи май аз 1 санаи январ дастрас мегардад	ҳ а м и н | т а р и қ | и ҷ о з а т и | в у р у д | б а | к и ш в а р | д а р | ҳ а р | с а н а и | о ғ о з | д а р | м о ҳ и | м а й | а з | 1 | с а н а и | я н в а р | д а с т р а с | м е г а р д а д |	133440	MALE
72	12558371937026249537.wav	Ҳимоятгарони машҳури Юнон, Сакис Кечагиоглу ва Ҷорҷ Николакопулус дар зиндони Коридаллуси Афина, бо сабаби даст задан ба фасодкорӣ ва порагирӣ, зиндонӣ карда шуданд.	ҳимоятгарони машҳури юнон сакис кечагиоглу ва ҷорҷ николакопулус дар зиндони коридаллуси афина бо сабаби даст задан ба фасодкорӣ ва порагирӣ зиндонӣ карда шуданд	ҳ и м о я т г а р о н и | м а ш ҳ у р и | ю н о н | с а к и с | к е ч а г и о г л у | в а | ҷ о р ҷ | н и к о л а к о п у л у с | д а р | з и н д о н и | к о р и д а л л у с и | а ф и н а | б о | с а б а б и | д а с т | з а д а н | б а | ф а с о д к о р ӣ | в а | п о р а г и р ӣ | з и н д о н ӣ | к а р д а | ш у д а н д |	308160	FEMALE
500	17836898428689984078.wav	Оригами тоза оригами бо маҳдудият ба шумор меравад, ки ҳамзамон танҳо як қат кардан мумкин аст, қатҳои мураккабтаре, ба монанди қатҳои баръакс манъ аст ва ҳамаи қатҳо тартиби оддӣ доранд.	оригами тоза оригами бо маҳдудият ба шумор меравад ки ҳамзамон танҳо як қат кардан мумкин аст қатҳои мураккабтаре ба монанди қатҳои баръакс манъ аст ва ҳамаи қатҳо тартиби оддӣ доранд	о р и г а м и | т о з а | о р и г а м и | б о | м а ҳ д у д и я т | б а | ш у м о р | м е р а в а д | к и | ҳ а м з а м о н | т а н ҳ о | я к | қ а т | к а р д а н | м у м к и н | а с т | қ а т ҳ о и | м у р а к к а б т а р е | б а | м о н а н д и | қ а т ҳ о и | б а р ъ а к с | м а н ъ | а с т | в а | ҳ а м а и | қ а т ҳ о | т а р т и б и | о д д ӣ | д о р а н д |	274560	FEMALE
261	6957960247293909270.wav	Дар роҳи ҳалқавӣ, масири алтернативии шаҳрӣ дар бораи ягон тамбашавии ҷидди ҳаракати нақлиёт хабар дода нашудааст.	дар роҳи ҳалқавӣ масири алтернативии шаҳрӣ дар бораи ягон тамбашавии ҷидди ҳаракати нақлиёт хабар дода нашудааст	д а р | р о ҳ и | ҳ а л қ а в ӣ | м а с и р и | а л т е р н а т и в и и | ш а ҳ р ӣ | д а р | б о р а и | я г о н | т а м б а ш а в и и | ҷ и д д и | ҳ а р а к а т и | н а қ л и ё т | х а б а р | д о д а | н а ш у д а а с т |	192000	FEMALE
569	6741814326061589110.wav	Конструксияҳои гуногун имкониятҳои ҳархела доранд, ба мавҷҳои гуногун ҳасосанд ва соҳиби дараҷаи ҳархелаи ҳассосӣ доранд, инчунин коркарди гуногунро талаб менамоянд, то ин ки маълумотҳои воридшуда ва рақамҳои гуногунро барои кори оптималӣ дарк намоянд.	конструксияҳои гуногун имкониятҳои ҳархела доранд ба мавҷҳои гуногун ҳасосанд ва соҳиби дараҷаи ҳархелаи ҳассосӣ доранд инчунин коркарди гуногунро талаб менамоянд то ин ки маълумотҳои воридшуда ва рақамҳои гуногунро барои кори оптималӣ дарк намоянд	к о н с т р у к с и я ҳ о и | г у н о г у н | и м к о н и я т ҳ о и | ҳ а р х е л а | д о р а н д | б а | м а в ҷ ҳ о и | г у н о г у н | ҳ а с о с а н д | в а | с о ҳ и б и | д а р а ҷ а и | ҳ а р х е л а и | ҳ а с с о с ӣ | д о р а н д | и н ч у н и н | к о р к а р д и | г у н о г у н р о | т а л а б | м е н а м о я н д | т о | и н | к и | м а ъ л у м о т ҳ о и | в о р и д ш у д а | в а | р а қ а м ҳ о и | г у н о г у н р о | б а р о и | к о р и | о п т и м а л ӣ | д а р к | н а м о я н д |	380160	FEMALE
902	11158583142630944451.wav	Баъзан рӯйдоди барангезандаи аслӣ гармкунии барф аз ҷониби офтоб мебошад, баъзан каме бориши барфи бештар, баъзан падидаҳои дигари табиат, одатан ягон инсон.	баъзан рӯйдоди барангезандаи аслӣ гармкунии барф аз ҷониби офтоб мебошад баъзан каме бориши барфи бештар баъзан падидаҳои дигари табиат одатан ягон инсон	б а ъ з а н | р ӯ й д о д и | б а р а н г е з а н д а и | а с л ӣ | г а р м к у н и и | б а р ф | а з | ҷ о н и б и | о ф т о б | м е б о ш а д | б а ъ з а н | к а м е | б о р и ш и | б а р ф и | б е ш т а р | б а ъ з а н | п а д и д а ҳ о и | д и г а р и | т а б и а т | о д а т а н | я г о н | и н с о н |	178560	MALE
1450	8302714553173206914.wav	Онҳо диданд, ки Офтоб дар ҳамон асоси принсипҳои асосии ситораҳо амал мекунад: муайян карда шуд, ки фаъолияти ҳамаи ситораҳои система бо равшании онҳо, гардиши онҳо ва на чизи дигар муайян карда мешавад.	онҳо диданд ки офтоб дар ҳамон асоси принсипҳои асосии ситораҳо амал мекунад муайян карда шуд ки фаъолияти ҳамаи ситораҳои система бо равшании онҳо гардиши онҳо ва на чизи дигар муайян карда мешавад	о н ҳ о | д и д а н д | к и | о ф т о б | д а р | ҳ а м о н | а с о с и | п р и н с и п ҳ о и | а с о с и и | с и т о р а ҳ о | а м а л | м е к у н а д | м у а й я н | к а р д а | ш у д | к и | ф а ъ о л и я т и | ҳ а м а и | с и т о р а ҳ о и | с и с т е м а | б о | р а в ш а н и и | о н ҳ о | г а р д и ш и | о н ҳ о | в а | н а | ч и з и | д и г а р | м у а й я н | к а р д а | м е ш а в а д |	271680	FEMALE
975	5986982171367075449.wav	Аммо, дар Малайзия, ҳадди аққал дар байни мардуми рустоии Малайзия, он маънои «биё»-ро дорад, ба монанди ангушти ишоратии ба бадан қатшуда, як ишораи дар баъзе кишварҳои ғарбӣ истифодашаванда мебошад ва бояд танҳо барои ҳамин мақсад ба кор бурда шавад.	аммо дар малайзия ҳадди аққал дар байни мардуми рустоии малайзия он маънои «биё»-ро дорад ба монанди ангушти ишоратии ба бадан қатшуда як ишораи дар баъзе кишварҳои ғарбӣ истифодашаванда мебошад ва бояд танҳо барои ҳамин мақсад ба кор бурда шавад	а м м о | д а р | м а л а й з и я | ҳ а д д и | а қ қ а л | д а р | б а й н и | м а р д у м и | р у с т о и и | м а л а й з и я | о н | м а ъ н о и | « б и ё » - р о | д о р а д | б а | м о н а н д и | а н г у ш т и | и ш о р а т и и | б а | б а д а н | қ а т ш у д а | я к | и ш о р а и | д а р | б а ъ з е | к и ш в а р ҳ о и | ғ а р б ӣ | и с т и ф о д а ш а в а н д а | м е б о ш а д | в а | б о я д | т а н ҳ о | б а р о и | ҳ а м и н | м а қ с а д | б а | к о р | б у р д а | ш а в а д |	319680	MALE
218	3226306332407512484.wav	Овоздиҳӣ бояд аздусар аз ҷониби КБО дар ҷаласаи моҳи октябр дар Копенгаген тасдиқ карда шавад.	овоздиҳӣ бояд аздусар аз ҷониби кбо дар ҷаласаи моҳи октябр дар копенгаген тасдиқ карда шавад	о в о з д и ҳ ӣ | б о я д | а з д у с а р | а з | ҷ о н и б и | к б о | д а р | ҷ а л а с а и | м о ҳ и | о к т я б р | д а р | к о п е н г а г е н | т а с д и қ | к а р д а | ш а в а д |	135360	MALE
406	15358101060771927808.wav	Аз сабаби муваффақияти онҳо бо киштиҳои зериобӣ, пас аз ҷанг ба олмониҳо боварӣ карда намешавад ва доштани бисёри онҳо иҷозат намешавад.	аз сабаби муваффақияти онҳо бо киштиҳои зериобӣ пас аз ҷанг ба олмониҳо боварӣ карда намешавад ва доштани бисёри онҳо иҷозат намешавад	а з | с а б а б и | м у в а ф ф а қ и я т и | о н ҳ о | б о | к и ш т и ҳ о и | з е р и о б ӣ | п а с | а з | ҷ а н г | б а | о л м о н и ҳ о | б о в а р ӣ | к а р д а | н а м е ш а в а д | в а | д о ш т а н и | б и с ё р и | о н ҳ о | и ҷ о з а т | н а м е ш а в а д |	208320	FEMALE
282	1333747759239803964.wav	Дар Берлин, полис 6500 эътирозгарро шумурда баровард.	дар берлин полис 6500 эътирозгарро шумурда баровард	д а р | б е р л и н | п о л и с | 6 5 0 0 | э ъ т и р о з г а р р о | ш у м у р д а | б а р о в а р д |	118080	FEMALE
220	17308569625523116164.wav	Ҷоизадори нуқрагини Бозиҳои Олимпии соли 2004 Амир Хон гуфт, "Дар замири дил фикр мекунам, ки занон набояд ба занозанӣ роҳ диҳанд. Ин ақидаи ман аст."	ҷоизадори нуқрагини бозиҳои олимпии соли 2004 амир хон гуфт дар замири дил фикр мекунам ки занон набояд ба занозанӣ роҳ диҳанд ин ақидаи ман аст	ҷ о и з а д о р и | н у қ р а г и н и | б о з и ҳ о и | о л и м п и и | с о л и | 2 0 0 4 | а м и р | х о н | г у ф т | д а р | з а м и р и | д и л | ф и к р | м е к у н а м | к и | з а н о н | н а б о я д | б а | з а н о з а н ӣ | р о ҳ | д и ҳ а н д | и н | а қ и д а и | м а н | а с т |	274560	FEMALE
689	2148860969912655048.wav	Ба меҳмонони вақти маҳдуд дошта тавсия мешавад, ки беҳтараш вақти худро дар дигар ҷойҳо гузаронанд.	ба меҳмонони вақти маҳдуд дошта тавсия мешавад ки беҳтараш вақти худро дар дигар ҷойҳо гузаронанд	б а | м е ҳ м о н о н и | в а қ т и | м а ҳ д у д | д о ш т а | т а в с и я | м е ш а в а д | к и | б е ҳ т а р а ш | в а қ т и | х у д р о | д а р | д и г а р | ҷ о й ҳ о | г у з а р о н а н д |	147840	FEMALE
1357	5357357514387578640.wav	Расадхонаҳои то давраи муосир маъмулан имрӯз кӯҳна шудаанд ва ҳамчун музей ё муассисаи таълимӣ боқӣ мемонанд.	расадхонаҳои то давраи муосир маъмулан имрӯз кӯҳна шудаанд ва ҳамчун музей ё муассисаи таълимӣ боқӣ мемонанд	р а с а д х о н а ҳ о и | т о | д а в р а и | м у о с и р | м а ъ м у л а н | и м р ӯ з | к ӯ ҳ н а | ш у д а а н д | в а | ҳ а м ч у н | м у з е й | ё | м у а с с и с а и | т а ъ л и м ӣ | б о қ ӣ | м е м о н а н д |	191040	FEMALE
1405	15826810100093054258.wav	Аммо, шабакаи умумимиллии роҳ танҳо барои якчанд мошин аз лиҳози иқтисодӣ муфид нест, аз ин рӯ, усулҳои нави истеҳсолот баҳри коҳиш додани арзиши азхудкунии мошинҳо таҳия шуда истодаанд.	аммо шабакаи умумимиллии роҳ танҳо барои якчанд мошин аз лиҳози иқтисодӣ муфид нест аз ин рӯ усулҳои нави истеҳсолот баҳри коҳиш додани арзиши азхудкунии мошинҳо таҳия шуда истодаанд	а м м о | ш а б а к а и | у м у м и м и л л и и | р о ҳ | т а н ҳ о | б а р о и | я к ч а н д | м о ш и н | а з | л и ҳ о з и | и қ т и с о д ӣ | м у ф и д | н е с т | а з | и н | р ӯ | у с у л ҳ о и | н а в и | и с т е ҳ с о л о т | б а ҳ р и | к о ҳ и ш | д о д а н и | а р з и ш и | а з х у д к у н и и | м о ш и н ҳ о | т а ҳ и я | ш у д а | и с т о д а а н д |	277440	FEMALE
1308	4871565756431100479.wav	Маҳсулоти қаннодии олмонӣ хеле олиянд, дар ҳоле ки маҳсулоти Бавария хеле бой ва гуногун аст ва шабеҳи каннодии ҳамсояи ҷанубии худ Австрия аст.	маҳсулоти қаннодии олмонӣ хеле олиянд дар ҳоле ки маҳсулоти бавария хеле бой ва гуногун аст ва шабеҳи каннодии ҳамсояи ҷанубии худ австрия аст	м а ҳ с у л о т и | қ а н н о д и и | о л м о н ӣ | х е л е | о л и я н д | д а р | ҳ о л е | к и | м а ҳ с у л о т и | б а в а р и я | х е л е | б о й | в а | г у н о г у н | а с т | в а | ш а б е ҳ и | к а н н о д и и | ҳ а м с о я и | ҷ а н у б и и | х у д | а в с т р и я | а с т |	203520	FEMALE
1503	12605191643705876278.wav	Таърихан аксари деҳқонон бо хоҷагидории натуралӣ машғул буданд ва ҳолати мазкур дар қисми зиёди кишварҳои тараққикунанда то ҳол идома дорад.	таърихан аксари деҳқонон бо хоҷагидории натуралӣ машғул буданд ва ҳолати мазкур дар қисми зиёди кишварҳои тараққикунанда то ҳол идома дорад	т а ъ р и х а н | а к с а р и | д е ҳ қ о н о н | б о | х о ҷ а г и д о р и и | н а т у р а л ӣ | м а ш ғ у л | б у д а н д | в а | ҳ о л а т и | м а з к у р | д а р | қ и с м и | з и ё д и | к и ш в а р ҳ о и | т а р а қ қ и к у н а н д а | т о | ҳ о л | и д о м а | д о р а д |	228480	FEMALE
1171	10857018595413596887.wav	Қоидаи сеюме, ки аксар вақт аз ҳад зиёд истифода мебаранд ва механданд, - ин дастури оддӣ, ки барои схтани динамизм мусоидат карда, дар баробари ин дараҷаи муайяни тартиботро дар акс ҳифз мекунад.	қоидаи сеюме ки аксар вақт аз ҳад зиёд истифода мебаранд ва механданд - ин дастури оддӣ ки барои схтани динамизм мусоидат карда дар баробари ин дараҷаи муайяни тартиботро дар акс ҳифз мекунад	қ о и д а и | с е ю м е | к и | а к с а р | в а қ т | а з | ҳ а д | з и ё д | и с т и ф о д а | м е б а р а н д | в а | м е х а н д а н д | - | и н | д а с т у р и | о д д ӣ | к и | б а р о и | с х т а н и | д и н а м и з м | м у с о и д а т | к а р д а | д а р | б а р о б а р и | и н | д а р а ҷ а и | м у а й я н и | т а р т и б о т р о | д а р | а к с | ҳ и ф з | м е к у н а д |	282240	FEMALE
1501	10911175207983926873.wav	Дар ҷавоб вазорат ба таъхир гузоштани ҳисоботи Apple-ро "ҳақиқатан ғамангез" номид.	дар ҷавоб вазорат ба таъхир гузоштани ҳисоботи apple-ро ҳақиқатан ғамангез номид	д а р | ҷ а в о б | в а з о р а т | б а | т а ъ х и р | г у з о ш т а н и | ҳ и с о б о т и | a p p l e - р о | ҳ а қ и қ а т а н | ғ а м а н г е з | н о м и д |	155520	FEMALE
