362	3727732812750922633.wav	Фотоните са по-малки дори от материята, която изгражда атомите!	фотоните са по-малки дори от материята която изгражда атомите!	ф о т о н и т е | с а | п о - м а л к и | д о р и | о т | м а т е р и я т а | к о я т о | и з г р а ж д а | а т о м и т е ! |	114240	MALE
1002	17743681090094002435.wav	Фотографът е транспортиран до медицинския център „Роналд Рейгън UCLA“, където впоследствие умира.	фотографът е транспортиран до медицинския център роналд рейгън ucla  където впоследствие умира	ф о т о г р а ф ъ т | е | т р а н с п о р т и р а н | д о | м е д и ц и н с к и я | ц е н т ъ р | р о н а л д | р е й г ъ н | u c l a | к ъ д е т о | в п о с л е д с т в и е | у м и р а |	192960	FEMALE
1286	9898830158504001385.wav	Насоченият нагоре лък обикновено издава по-мек звук, a насоченият надолу лък е по-силен и по-уверен.	насоченият нагоре лък обикновено издава по-мек звук a насоченият надолу лък е по-силен и по-уверен	н а с о ч е н и я т | н а г о р е | л ъ к | о б и к н о в е н о | и з д а в а | п о - м е к | з в у к | a | н а с о ч е н и я т | н а д о л у | л ъ к | е | п о - с и л е н | и | п о - у в е р е н |	128640	MALE
1274	766758543027286421.wav	Изглеждайки тромаво в мача срещу южните си сестри, Южна Африка все пак постоянно се подобрява с напредването на турнира.	изглеждайки тромаво в мача срещу южните си сестри южна африка все пак постоянно се подобрява с напредването на турнира	и з г л е ж д а й к и | т р о м а в о | в | м а ч а | с р е щ у | ю ж н и т е | с и | с е с т р и | ю ж н а | а ф р и к а | в с е | п а к | п о с т о я н н о | с е | п о д о б р я в а | с | н а п р е д в а н е т о | н а | т у р н и р а |	117120	MALE
75	14593151466055029414.wav	Наред с това високопоставеният съдия Евангелос Калусис влиза в затвора с обвинения за корупция и уронващо поведение.	наред с това високопоставеният съдия евангелос калусис влиза в затвора с обвинения за корупция и уронващо поведение	н а р е д | с | т о в а | в и с о к о п о с т а в е н и я т | с ъ д и я | е в а н г е л о с | к а л у с и с | в л и з а | в | з а т в о р а | с | о б в и н е н и я | з а | к о р у п ц и я | и | у р о н в а щ о | п о в е д е н и е |	190080	MALE
688	4393520147775151443.wav	Приказните богатства от гробницата са пренесени в египетския музей в Кайро.	приказните богатства от гробницата са пренесени в египетския музей в кайро	п р и к а з н и т е | б о г а т с т в а | о т | г р о б н и ц а т а | с а | п р е н е с е н и | в | е г и п е т с к и я | м у з е й | в | к а й р о |	106560	FEMALE
944	152832712479107919.wav	Да живееш и да си доброволец в чужда страна е чудесен начин да опознаеш други култури, да се запознаеш с нови хора, да се себеопознаеш, да добиеш усещане за перспектива и дори да придобиеш нови умения.	да живееш и да си доброволец в чужда страна е чудесен начин да опознаеш други култури да се запознаеш с нови хора да се себеопознаеш да добиеш усещане за перспектива и дори да придобиеш нови умения	д а | ж и в е е ш | и | д а | с и | д о б р о в о л е ц | в | ч у ж д а | с т р а н а | е | ч у д е с е н | н а ч и н | д а | о п о з н а е ш | д р у г и | к у л т у р и | д а | с е | з а п о з н а е ш | с | н о в и | х о р а | д а | с е | с е б е о п о з н а е ш | д а | д о б и е ш | у с е щ а н е | з а | п е р с п е к т и в а | и | д о р и | д а | п р и д о б и е ш | н о в и | у м е н и я |	204480	FEMALE
58	10970229774809046658.wav	Според Анса полицията е била обезпокоена от няколко удара на най - високо ниво, за които се е опасявала, че могат да стартират цяла война за наследяване.	според анса полицията е била обезпокоена от няколко удара на най - високо ниво за които се е опасявала че могат да стартират цяла война за наследяване	с п о р е д | а н с а | п о л и ц и я т а | е | б и л а | о б е з п о к о е н а | о т | н я к о л к о | у д а р а | н а | н а й | - | в и с о к о | н и в о | з а | к о и т о | с е | е | о п а с я в а л а | ч е | м о г а т | д а | с т а р т и р а т | ц я л а | в о й н а | з а | н а с л е д я в а н е |	234240	MALE
867	7126584885836607502.wav	Ако това е първото ви пътуване в развиваща се страна – или в нова част на света – не подценявайте възможния културен шок, който може да изпитате.	ако това е първото ви пътуване в развиваща се страна – или в нова част на света – не подценявайте възможния културен шок който може да изпитате	а к о | т о в а | е | п ъ р в о т о | в и | п ъ т у в а н е | в | р а з в и в а щ а | с е | с т р а н а | – | и л и | в | н о в а | ч а с т | н а | с в е т а | – | н е | п о д ц е н я в а й т е | в ъ з м о ж н и я | к у л т у р е н | ш о к | к о й т о | м о ж е | д а | и з п и т а т е |	137280	MALE
622	16057892597985341673.wav	Индивидите и всички участващи лица откриват по - дълбоко ценностите, мисията и движещите сили на организацията чрез оценяване на успехите и осъзнаване на неуспехите.	индивидите и всички участващи лица откриват по - дълбоко ценностите мисията и движещите сили на организацията чрез оценяване на успехите и осъзнаване на неуспехите	и н д и в и д и т е | и | в с и ч к и | у ч а с т в а щ и | л и ц а | о т к р и в а т | п о | - | д ъ л б о к о | ц е н н о с т и т е | м и с и я т а | и | д в и ж е щ и т е | с и л и | н а | о р г а н и з а ц и я т а | ч р е з | о ц е н я в а н е | н а | у с п е х и т е | и | о с ъ з н а в а н е | н а | н е у с п е х и т е |	299520	MALE
1481	15925408192439817009.wav	Пешеходното сафари (наричано още "разходка в пустошта", "туристическо сафари" или "ходене пеша") представлява разходка с продължителност няколко часа или няколко дни.	пешеходното сафари наричано още разходка в пустошта туристическо сафари или ходене пеша представлява разходка с продължителност няколко часа или няколко дни	п е ш е х о д н о т о | с а ф а р и | н а р и ч а н о | о щ е | р а з х о д к а | в | п у с т о ш т а | т у р и с т и ч е с к о | с а ф а р и | и л и | х о д е н е | п е ш а | п р е д с т а в л я в а | р а з х о д к а | с | п р о д ъ л ж и т е л н о с т | н я к о л к о | ч а с а | и л и | н я к о л к о | д н и |	170880	FEMALE
